"分数","分档人数(1分档)","累计人数(>=","累计人数(<=","累计百分比(>="
102,42,5066,4529,0.530304616350885
103,132,5024,4661,0.525908091698943
104,198,4892,4859,0.51209044279284
105,92,4694,4951,0.491363969433686
106,18,4602,4969,0.481733486862766
107,61,4584,5030,0.479849262011933
108,289,4523,5319,0.47346383335078
109,64,4234,5383,0.443211556579085
110,83,4170,5466,0.436512090442793
111,41,4087,5507,0.427823720297289
112,140,4046,5647,0.423531874803727
113,89,3906,5736,0.408876792630587
114,60,3817,5796,0.399560347534806
115,111,3757,5907,0.393279598032032
116,95,3646,6002,0.3816602114519
117,35,3551,6037,0.371715691405841
118,51,3516,6088,0.368051920862556
119,89,3465,6177,0.362713283785198
120,217,3376,6394,0.353396838689417
121,39,3159,6433,0.330681461321051
122,30,3120,6463,0.326598974144248
123,97,3090,6560,0.323458599392861
124,230,2993,6790,0.313304721030043
125,80,2763,6870,0.289228514602743
126,14,2683,6884,0.280854181932377
127,62,2669,6946,0.279388673715063
128,207,2607,7153,0.27289856589553
129,70,2400,7223,0.25122998011096
130,23,2330,7246,0.24390243902439
131,31,2307,7277,0.24149481838166
132,120,2276,7397,0.238249764471894
133,98,2156,7495,0.225688265466346
134,16,2058,7511,0.215429707945148
135,36,2042,7547,0.213754841411075
136,78,2006,7625,0.209986391709411
137,59,1928,7684,0.201821417355804
138,30,1869,7714,0.19564534701141
139,29,1839,7743,0.192504972260023
140,60,1810,7803,0.189469276667016
141,42,1750,7845,0.183188527164242
142,23,1708,7868,0.1787920025123
143,53,1685,7921,0.17638438186957
144,56,1632,7977,0.170836386475453
145,36,1576,8013,0.164974353606197
146,16,1540,8029,0.161205903904533
147,32,1524,8061,0.15953103737046
148,66,1492,8127,0.156181304302313
149,29,1426,8156,0.149272479849262
150,11,1397,8167,0.146236784256255
151,20,1386,8187,0.145085313514079
152,50,1366,8237,0.142991730346488
153,29,1316,8266,0.13775777242751
154,18,1287,8284,0.134722076834502
155,19,1269,8303,0.13283785198367
156,29,1250,8332,0.130848947974458
157,31,1221,8363,0.127813252381451
158,20,1190,8383,0.124568198471684
159,13,1170,8396,0.122474615304093
160,46,1157,8442,0.121113786245159
161,32,1111,8474,0.116298544959699
162,13,1079,8487,0.112948811891552
163,25,1066,8512,0.111587982832618
164,21,1041,8533,0.108971003873129
165,17,1020,8550,0.106772741547158
166,18,1003,8568,0.104993195854705
